id,danceName,artist,danceType,aliases_pipe,styleTags_pipe,sceneTags_pipe,outfitKeywords_pipe,avoidKeywords_pipe,stageOutfitSummary,reviewNotes
who-is-she,Who Is She,KISS OF LIFE,女团,who is she|WhoIsShe|whoisshe|who she|kiss of life who is she,性感|妈咪|辣妹,练舞房|舞台|日常,修身短上衣|黑色|皮裙|低腰|金属腰链|高跟感,蝴蝶结|学院|百褶裙|甜美|元气,性感小妈风和成熟自信感更强，适合修身短上衣、黑色皮裙或低腰下装、金属腰链等利落配饰；避免蝴蝶结、学院百褶裙这类过甜元素。,
super-shy,Super Shy,NewJeans,K-pop,supershy|super shy|超级害羞|super shy newjeans,元气|运动|学院,练舞房|户外|日常,运动背心|工装短裤|棒球帽|清爽,,清爽运动感是重点，适合短款背心、宽松短裤、球鞋和帽子，跳起来要轻快不束缚。,
magnetic,Magnetic,ILLIT,女团,magnetic|磁场|illit magnetic|마그네틱,甜酷|元气|Y2K,练舞房|舞台|日常,针织|短裙|发夹|甜酷,,甜甜的吸引力加一点复古 Y2K，适合软糯上衣、短裙、发夹和浅色运动鞋。,
drama,Drama,aespa,K-pop,drama|aespa drama|drama aespa|戏剧,暗黑|清冷|辣妹,舞台|夜景|练舞房,皮革|金属|黑色|短靴,,强势冷感和舞台压迫感更重要，黑色、金属、皮革和利落线条都很适合。,
whiplash,Whiplash,aespa,Urban,whiplash|aespa whiplash|甩鞭|whip lash,清冷|辣妹|暗黑,夜景|舞台|路演,银色|紧身|墨镜|机能,,冷调未来感和身体线条是重点，适合银色点缀、紧身短上衣、机能下装和酷感配饰。,
hype-boy,Hype Boy,NewJeans,K-pop,hypeboy|hype boy|海普男孩|newjeans hype boy,运动|Y2K|元气,户外|练舞房|路演,卫衣|牛仔|球鞋|棒球帽,,校园街头和轻复古气质很适合，宽松上衣、牛仔下装、球鞋会让动作更自然。,
kill-this-love,Kill This Love,BLACKPINK,Jazz,kill this love|killthislove|blackpink kill this love|杀死这份爱,辣妹|暗黑|甜酷,舞台|夜景|路演,军装|短靴|腰带|皮裙,,气场要足，适合利落短上衣、腰带、皮裙或工装元素，整体强调力量和比例。,
like-jennie,Like Jennie,Jennie,路演,like jennie|likejennie|jennie like jennie|像Jennie,辣妹|清冷|Y2K,路演|夜景|日常,吊带|低腰|墨镜|短裙,,松弛但很会拍，适合短吊带、低腰下装、墨镜和一点亮面材质，突出自信和镜头感。,
gg-001,Black Mamba,aespa,女团,black mamba|aespa black mamba|blackmamba,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Black Mamba》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
gg-002,Next Level,aespa,女团,next level|aespa next level|nextlevel,未来感|力量|暗黑,练舞房|舞台|日常,皮革|金属|短靴,,aespa《Next Level》偏未来感与力量，建议选择便于发力且有舞台层次感的女团搭配。,
